0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:53 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:58 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:27:58 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:28:02 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:28:02 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:28:02 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:29:08 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:29:08 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:29:08 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:43:19 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:43:19 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:43:19 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:43:21 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4769
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:46:47 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:46:47 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:48:41 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:48:41 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:18 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:18 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:26 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:26 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:27 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:27 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:27 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:39 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:49:39 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:50:08 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:50:08 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:50:22 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:50:22 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:24 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:24 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:25 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:25 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:52 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:52 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:52 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:51:52 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:52:35 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:52:35 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:16 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:16 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:16 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:16 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:24 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:24 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:35 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:53:35 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:03 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:03 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:04 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:04 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:29 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:29 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:47 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:54:47 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:55:16 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
